trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
246,False,"{'a': 0.033, 'e': 0.08543495096732123}",25,3,-0.5143606413708908,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
247,False,"{'a': 0.033, 'e': 0.08458485900156469}",25,0,37.92309555904683,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
248,False,"{'a': 0.033, 'e': 0.08374322559219596}",20,8,18.19550579668212,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.033, 'e': 0.08290996657517266}",20,9,14.693433601074963,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.033, 'e': 0.0820849986238988}",20,4,7.872024673222487,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
251,False,"{'a': 0.033, 'e': 0.08126823924089167}",20,15,-0.8271341028917583,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.033, 'e': 0.08045960674953244}",20,12,10.299294660066629,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.033, 'e': 0.07965902028589801}",20,10,5.058636629467133,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
254,False,"{'a': 0.033, 'e': 0.07886639979067495}",20,12,-9.488257931543327,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
255,False,"{'a': 0.033, 'e': 0.07808166600115313}",25,3,-22.617855746036454,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
256,False,"{'a': 0.033, 'e': 0.07730474044329974}",20,8,15.140085740014955,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.033, 'e': 0.07653554542391151}",35,11,40.261570552122706,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.033, 'e': 0.07577400402284548}",30,7,34.67151667275921,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.033, 'e': 0.07502004008532698}",30,13,4.284176718877871,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
260,False,"{'a': 0.033, 'e': 0.07427357821433388}",20,0,-13.626608784939199,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
261,False,"{'a': 0.033, 'e': 0.0735345437630571}",25,3,22.384442861449592,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
262,False,"{'a': 0.033, 'e': 0.07280286282743559}",25,0,14.752471116311398,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
263,False,"{'a': 0.033, 'e': 0.0720784622387661}",30,18,0.0546903720750338,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
264,False,"{'a': 0.033, 'e': 0.07136126955638605}",25,0,8.757972592605748,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
265,False,"{'a': 0.033, 'e': 0.0706512130604296}",25,6,9.959455189025919,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
266,False,"{'a': 0.033, 'e': 0.06994822174465536}",35,21,3.660522494868785,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
267,False,"{'a': 0.033, 'e': 0.069252225309346}",25,3,34.1241579161093,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.033, 'e': 0.06856315415427791}",20,11,10.149258513961973,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.033, 'e': 0.06788093937176144}",20,0,29.594839389899448,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.033, 'e': 0.06720551273974976}",30,0,2.1681358391664727,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
271,False,"{'a': 0.033, 'e': 0.06653680671501686}",20,0,-15.102346894688093,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
272,False,"{'a': 0.033, 'e': 0.06587475442640295}",20,0,32.639837686569514,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
